X,Y,Target
-10.076509,8.150101,1
5.911595,-20.07837,1
-23.370525,-31.850126,1
-7.9440594,-13.439673,1
23.737734,36.840496,1
-5.4867253,19.730402,1
21.039717,-0.42447382,1
-3.5466874,10.211453,1
-7.159823,-46.032047,0
38.484375,-19.355392,1
55.615036,25.667652,1
5.6630654,-19.010958,1
-6.67639,14.807216,1
4.538613,23.164831,1
-22.511929,-12.9626875,1
-16.522287,-5.786338,1
23.25017,35.820004,1
55.504158,26.262104,1
22.304174,35.58614,1
2.313935,-19.21953,1
5.6649876,-21.092287,1
-8.782224,34.629414,1
14.944703,1.3923564,1
-7.031698,40.351517,1
-6.278787,23.723871,1
-7.325454,-14.177241,1
